# WL-id-era filename -> semantic filename (particle/effect rename, 2026-07-20).
# Weapons keep their WL id in the w###_ filename prefix; sprites are unrenamed.
effects/sx000	effects/mine_explosion
effects/sx001	effects/incendiary_blast
effects/sx002	effects/bullet_impact
effects/sx003	effects/poof
effects/sx004	effects/spark_burst
effects/sx005	effects/spark_pop
effects/sx006	effects/smoke_puff
effects/sx007	effects/smoke_wisp
effects/sx008	effects/impact_heavy
effects/sx009	effects/impact_light
effects/sx010	effects/explosion_medium
effects/sx011	effects/explosion_large
effects/sx012	effects/stinger_explosion
effects/sx013	effects/energy_burst
effects/sx014	effects/rocket_explosion
effects/sx015	effects/unused_sx015
effects/sx016	effects/healing_zone_glow
effects/sx017	effects/flak_burst
effects/sx018	effects/unused_sx018
effects/sx019	effects/gadget_explosion
effects/sx020	effects/booby_trap_blast
effects/sx021	effects/unused_sx021
effects/sx022	effects/five_seven_blast
effects/sx023	effects/m79_smoke
effects/sx024	effects/m79_explosion
effects/sx025	effects/flame_flicker
effects/sx026	effects/bumblebee_smoke
effects/sx027	effects/unused_sx027
effects/sx028	effects/rmk30_explosion
effects/sx029	effects/virus_srifle_trail
effects/sx030	effects/unused_sx030
effects/sx031	effects/unused_sx031
effects/sx032	effects/shock_trail
effects/sx033	effects/gshg_blast
effects/sx034	effects/unused_sx034
effects/sx035	effects/gshg_tracer
effects/sx036	effects/molotov_fire
effects/sx037	effects/gauss_tracer
effects/sx038	effects/nuke_burst
effects/sx039	effects/ags_17_blast
effects/sx040	effects/merr_sonn_smoke
effects/sx041	effects/merr_sonn_sparkle
effects/sx042	effects/merr_sonn_explosion
effects/sx043	effects/fabarm_tracer
effects/sx044	effects/big_bertha_blast
effects/sx045	effects/unused_sx045
effects/sx046	effects/unused_sx046
effects/sx047	effects/javelin_explosion
effects/sx048	effects/javelin_smoke
effects/sx049	effects/ssg_3000_impact
effects/sx050	effects/sar_87_blast
effects/sx051	effects/pellet_burst
effects/sx052	effects/unused_sx052
effects/sx053	effects/unused_sx053
effects/sx054	effects/aa_12_tracer
effects/sx055	effects/unused_sx055
effects/sx056	effects/m1911_tracer
effects/sx057	effects/dragunov_flash
effects/sx058	effects/tesla_trail
effects/sx059	effects/aks_74u_tracer
effects/sx060	effects/aks_74u_burst
effects/sx061	effects/oerlikon_burst
effects/sx062	effects/unused_sx062
effects/sx063	effects/unused_sx063
effects/sx064	effects/hawk_smoke
effects/sx065	effects/hawk_explosion
effects/sx066	effects/unused_sx066
effects/sx067	effects/beretta_950_tracer
effects/sx068	effects/doberman_muzzle_flash
effects/sx069	effects/voughnought_tracer
effects/sx070	effects/mgl_6_trail
effects/sx071	effects/unused_sx071
effects/sx072	effects/unused_sx072
effects/sx073	effects/maverick_88_blast
effects/sx074	effects/shield_zap
